record_id,row_purpose,prereq_radio,prereq_checkbox___1,prereq_checkbox___2,prereq_checkbox___abc,prereq_checkbox___4,prereq_number,prereq_date,prereq_yesno,prerequisitefields_complete,no_prereq_number,no_prereq_checkbox___1,no_prereq_checkbox___2,no_prereq_checkbox___3,one_prereq_non_checkbox,one_prereq_checkbox,two_prereq_and,two_prereq_or,two_prereq_and_one_check,three_prereq_andor,one_prereq_inequality,evaluationfields_complete
1,"Pre-requisite field: None  Target field: no_prereq_number    Desired outcome: missing value in no_prereq_number",4,0,0,0,1,1,2023-03-08,0,2,,0,1,0,,,,,,,,2
2,"Pre-requisite field: None  Target field: no_prereq_number    Desired outcome: With a value in the target, no missing value is identified.",4,0,0,0,1,1,2023-03-08,0,2,123456,0,0,0,,,,,,,,2
3,"Pre-requisite field: None  Target field: no_prereq_checkbox    Desired outcome: with no values in the target checked, there are no missing values.",4,0,0,0,1,1,2023-03-08,0,2,123456,0,0,0,,,,,,,,2
4,"Pre-requisite field: None  Target field: no_prereq_checkbox    Desired outcome: with at least one value checked in the target checked, there are no missing values.",4,0,0,0,1,1,2023-03-08,0,2,123456,0,1,0,,,,,,,,2
5,"Pre-requisite field: prereq_radio = 1  Target field: one_prereq_non_checkbox    Desired outcome: With no value in the target, a missing value is identified.",1,0,0,0,1,1,2023-03-08,0,2,123456,0,0,1,,,,,,,,2
6,"Pre-requisite field: prereq_radio = 1  Target field: one_prereq_non_checkbox    Desired outcome: With a value in the target, no missing value is identified.",1,0,0,0,1,1,2023-03-08,0,2,123456,1,0,0,2,,,,,,,2
7,"Pre-requisite field: prereq_checkbox = ABC  Target field: one_prereq_checkbox    Desired outcome: With no value in the target, a missing value is identified.",4,0,0,1,0,1,2023-03-08,0,2,123456,0,0,1,,,,,,,,2
8,"Pre-requisite field: prereq_checkbox = ABC  Target field: one_prereq_checkbox    Desired outcome: With a value in the target, no missing value is identified.",4,0,0,1,0,1,2023-03-08,0,2,123456,0,1,0,,2023-03-08,,,,,,2
9,"Pre-requisite field: [prereq_yesno] = '0' and [prereq_radio] = 'ABC'  Target field: two_prereq_and    Desired outcome: With no value in the target, a missing value is identified.",ABC,0,0,0,1,1,2023-03-08,0,2,123456,0,1,0,,,,,,,,2
10,"Pre-requisite field: [prereq_yesno] = '0' and [prereq_radio] = 'ABC'  Target field: two_prereq_and    Desired outcome: With a value in the target, no missing value is identified.",ABC,0,0,0,1,1,2023-03-08,0,2,123456,1,0,0,,,2,,,,,2
11,"Pre-requisite field: [prereq_yesno] = '1' or [prereq_date] > '2024-01-01'    Target field: two_prereq_or    Desired outcome: With no value in the target, a missing value is identified.",4,0,0,0,1,1,2027-03-10,1,2,123456,0,1,0,,,,,,,,2
12,"Pre-requisite field: [prereq_yesno] = '1' or [prereq_date] > '2024-01-01'    Target field: two_prereq_or    Desired outcome: With a value in the target, no missing value is identified.",4,0,0,0,1,1,2025-03-17,1,2,123456,1,0,0,,,,0,,,,2
13,"Pre-requisite field: [prereq_checkbox(1)] = '1' or [prereq_number] = '5' (This tests the use of a checkbox in the branching logic. In this case, the checkbox satisfies the logic)    Target field: two_prereq_and_one_check    Desired outcome: With no value in the target, a missing value is identified.",4,1,0,0,0,1,2023-03-09,0,2,123456,0,0,1,,,,,,,,2
14,"Pre-requisite field: [prereq_checkbox(1)] = '1' or [prereq_number] = '5' (This tests the use of a checkbox in the branching logic. In this case, the number field satisfies the logic)    Target field: two_prereq_and_one_check    Desired outcome: With no value in the target, a missing value is identified.",4,0,0,0,1,5,2023-03-09,0,2,123456,1,1,0,,,,,,,,2
15,"Pre-requisite field: [prereq_checkbox(1)] = '1' or [prereq_number] = '5' (This tests the use of a checkbox in the branching logic. In this case, the checkbox satisfies the logic)    Target field: two_prereq_and_one_check    Desired outcome: With a value in the target, no missing value is identified.",4,0,0,0,1,5,2023-03-09,0,2,123456,1,0,1,,,,,value,,,2
16,"Pre-requisite field: ([prereq_radio] = '2' and [prereq_yesno] = '0') or [prereq_checkbox(2)] = '1'      Target field: three_prereq_andor    Desired outcome: With no value in the target, a missing value is identified.",2,0,0,0,1,1,2023-03-09,0,2,123456,1,1,1,,,,,,,,2
17,"Pre-requisite field: ([prereq_radio] = '2' and [prereq_yesno] = '0') or [prereq_checkbox(2)] = '1'    Target field: three_prereq_andor    Desired outcome: With a value in the target, no missing value is identified.",4,0,1,0,0,1,2023-03-09,0,2,123456,1,0,0,,,,,,2,,2
18,"Pre-requisite field: [prereq_number] < 0      Target field: one_prereq_inequality    Desired outcome: With no value in the target, a missing value is identified.",4,0,0,0,1," -100",2023-03-09,0,2,123456,0,1,0,,,,,,,,2
19,"Pre-requisite field: [prereq_number] < 0    Target field: one_prereq_inequality    Desired outcome: With a value in the target, no missing value is identified.",4,0,0,0,1," -100",2023-03-09,0,2,123456,0,1,0,,,,,,,0,2
20,"Tests if we can detect multiple missing values.     Desired result: missing values for the non-checkbox prerequisites and the evaluation fields that have no branching logic.",,0,0,0,0,,,,2,,0,0,0,,,,,,,,2