"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,prerequisitefields,,text,"Record ID",,,,,,,,,,,,,
row_purpose,prerequisitefields,,notes,"Intended result for this record",,,,,,,,,,,,,
prereq_radio,prerequisitefields,,radio,"Pre-requisite as a Radio Button","1, Radio1 | 2, Radio2 | ABC, RadioABC | 4, Do not use in branching logic",,,,,,,,,,,,
prereq_checkbox,prerequisitefields,,checkbox,"Pre-requisite as a checkbox","1, Checkbox1 | 2, Checkbox2 | ABC, CheckboxABC | 4, Do not use in branching logic",,,,,,,,,,,,
prereq_number,prerequisitefields,,text,"Pre-requisite as a number",,,number,,,,,,,,,,
prereq_date,prerequisitefields,,text,"Pre-requisite as a Date",,,date_ymd,,,,,,,,,,
prereq_yesno,prerequisitefields,,yesno,"Pre-requisite as a yes/no",,,,,,,,,,,,,
no_prereq_number,evaluationfields,,text,"Requires no pre-requisite",,,number,,,,,,,,,,
no_prereq_checkbox,evaluationfields,,checkbox,"No pre-requisite checkbox","1, Pretzel | 2, Chocolate | 3, Fruit",,,,,,,,,,,,
one_prereq_non_checkbox,evaluationfields,,dropdown,"Simple pre-requisite from a non checkbox field","1, Book | 2, Concert | 3, Movie",,,,,,"[prereq_radio] = '1'",,,,,,
one_prereq_checkbox,evaluationfields,,text,"Simple pre-requisite from a checkbox field",,,date_ymd,,,,"[prereq_checkbox(ABC)] = '1'",,,,,,
two_prereq_and,evaluationfields,,radio,"Composite AND pre-requisite","1, blue | 2, purple | 3, red",,,,,,"[prereq_yesno] = '0' and [prereq_radio] = 'ABC'",,,,,,
two_prereq_or,evaluationfields,,truefalse,"Composite OR pre-requisite",,,,,,,"[prereq_yesno] = '1' or [prereq_date] > '2024-01-01'",,,,,,
two_prereq_and_one_check,evaluationfields,,text,"Composite AND pre-requisite using one checkbox",,,,,,,"[prereq_checkbox(1)] = '1' or [prereq_number] = '5'",,,,,,
three_prereq_andor,evaluationfields,,dropdown,"Compound pre-requisite (A AND B) OR C","1, Christopher Eccleston | 2, David Tenant | 3, Matt Smith | 4, Peter Capaldi | 5, Jodi Whitaker",,,,,,"([prereq_radio] = '2' and [prereq_yesno] = '0') or [prereq_checkbox(2)] = '1'",,RH,,,,
one_prereq_inequality,evaluationfields,,yesno,"One pre-requisite on inequality",,,,,,,"[prereq_number] < 0",,,,,,